Articles,Contributions,Source,Annotation1,Annotation2,Same/Not,Labels,,,,,,,,,,,,,,,,,,,
Deep sentiments in Roman Urdu text using Recurrent Convolutional Neural Network model,The deep learning models such as RCNN can help in text classification task for the under resource Urdu language.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Deep sentiments in Roman Urdu text using Recurrent Convolutional Neural Network model,"The RCNN outperforms Rule-based and N-gram methods, due to its ability to learn a language-independent textual context.",IPM,Model Optimization,Model Optimization,1,Model Optimization,,,,,,,,,,,,,,,,,,,
Listening to the investors: A novel framework for online lending default prediction using deep learning neural networks,"Our work has collected a massive P2P-domain dataset of online user reviews from Wangdaizhijia comprising of over 440000 online comments on about 6000 online P2P lending companies, which covers most of the China's P2P market.",IPM,Dataset Creation,Dataset Creation,1,Dataset Creation,,,,,,,,,,,,,,,,,,,
Listening to the investors: A novel framework for online lending default prediction using deep learning neural networks,"As for predictive clues from the investor perspective, we model it as a keyword extraction issue and propose an improved EBCC sequence labeling model.",IPM,Model Construction,Model Construction,1,Model Construction,,,,,,,,,,,,,,,,,,,
FS-MLC: Feature selection for multi-label classification using clustering in feature space,"A novel method, named FS-MLC, for feature selection in Multi-label classification is proposed.",IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
FS-MLC: Feature selection for multi-label classification using clustering in feature space,FS-MLC uses clustering to find the similarity among features.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
FS-MLC: Feature selection for multi-label classification using clustering in feature space,It is a wrapper method that does not require generating the number of feature subsets linearly proportional to the number of labels in the dataset.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
FS-MLC: Feature selection for multi-label classification using clustering in feature space,It reduces the dimensionality of the dataset up to 23%-93%.,IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
FS-MLC: Feature selection for multi-label classification using clustering in feature space,The experimental results show an impressive prediction performance improvement of the associated classifiers.,IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
SDRS: A new lossless dimensionality reduction for text corpora,Need of migrating from token-based representations to synset-based ones to achieve better performance on spam filtering.,IPM,Algorithm or Method or Technology Optimization,Algorithm or Method or Technology Optimization,1,Algorithm or Method or Technology Optimization,,,,,,,,,,,,,,,,,,,
SDRS: A new lossless dimensionality reduction for text corpora,Review of current synset-based feature reduction schemes and representations.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
SDRS: A new lossless dimensionality reduction for text corpora,Introducing SDRS feature reduction process based on the usage of NSGA-II algoritm and semantic taxonomic relations between tokens.,IPM,New Algorithm or Method or Technology,Algorithm or Method or Technology Optimization,0,Algorithm or Method or Technology Optimization,,,,,,,,,,,,,,,,,,,
SDRS: A new lossless dimensionality reduction for text corpora,Design and execute a experimental protocol to test the suitability of SDRS dimensionality reduction method.,IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
Mining shape of expertise: A novel approach based on convolutional neural network,Detecting shape of expertise is a practical and industry-motivated problem.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Mining shape of expertise: A novel approach based on convolutional neural network,A CNN-based model was proposed in this study to detect users’ shape of expertise.,IPM,Model Construction,Model Construction,1,Model Construction,,,,,,,,,,,,,,,,,,,
Mining shape of expertise: A novel approach based on convolutional neural network,The proposed method is based on matching both latent vectors of users and queries.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Exploring payment behavior for live courses in social Q&A communities: An information foraging perspective,Social endorsement strongly negatively moderates the relationship between willingness to pay and payment behavior.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Exploring payment behavior for live courses in social Q&A communities: An information foraging perspective,"Perceived quality of free content, perceived credibility of content creators, and perceived quantity of participants positively influence users’ willingness to pay.",IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Exploring payment behavior for live courses in social Q&A communities: An information foraging perspective,Perceived likeability of content creators has no significant influence on users’ willingness to pay.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Exploring payment behavior for live courses in social Q&A communities: An information foraging perspective,The relationship between perceived likeability of content creators and willingness to pay could be mediated by perceived credibility of content creators.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Evaluation of web service clustering using Dirichlet Multinomial Mixture model based approach for Dimensionality Reduction in service representation,"Crawl the web services or API from PW (i.e., online web repository) to generate datasets of services.",IPM,Dataset Creation,New Algorithm or Method or Technology,0,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Evaluation of web service clustering using Dirichlet Multinomial Mixture model based approach for Dimensionality Reduction in service representation,"Investigate various topic modeling methods to extract latent factors i.e., topics from the services so that services can be represented in the form of topic vectors and dimensionality reduction can be achieved by selecting relevant words in the topics.",IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
Evaluation of web service clustering using Dirichlet Multinomial Mixture model based approach for Dimensionality Reduction in service representation,Deploy Gibbs Sampling algorithm for Dirichlet Multinomial Mixture (GSDMM) model on datasets for the representation of services and dimensionality reduction.,IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
Evaluation of web service clustering using Dirichlet Multinomial Mixture model based approach for Dimensionality Reduction in service representation,"Apply various clustering methods on the services, which are represented as topic vectors by applying topic modeling and GSDMM methods, to group similar services into the same domain.",IPM,Applications,Applications,1,Applications,,,,,,,,,,,,,,,,,,,
Evaluation of web service clustering using Dirichlet Multinomial Mixture model based approach for Dimensionality Reduction in service representation,Evaluate the performance of methods by applying intrinsic and extrinsic measures and determine the effective dimension reduction and clustering approach for web service.,IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
