Contributions,Source,Labels,,,,
"We investigated the impact of a specific
set of grammatical roles on coherence, we instead investigate a large set
of GR types, and train the model to predict the
type of role dependents participate in.",ACL,Performance Evaluation,,,,
"We perform an extensive analysis of ways to represent the conversational-context in terms of the number of utterance history, and sampling strategy considering to use the generated sentences or the true preceding utterance.",ACL,Theory Proposal,,,,
"We present a universal representor to replace encoder and decoder, leading to a compact translation model, which fully explores the commonality between languages.",ACL,Model Optimization,,,,
"we propose a new solution that can complete the multiple entityrelations extraction task with only one-pass encoding on the input corpus, and achieve a new state-of-the-art accuracy performance, as demonstrated in the ACE 2005 benchmark.",ACL,New Algorithm or Method or Technology,,,,
"We propose an entmax sparse output layer, together with a natural loss function. In largevocabulary settings, sparse outputs avoid wasting probability mass on unlikely outputs, substantially improving accuracy.",ACL,New Algorithm or Method or Technology,,,,
"we use adversarial training across tasks, to “softcode” shared and private spaces, to avoid the shared space gets too sparse.",ACL,Theory Proposal,,,,
"We note that our approach differs from other applications in the NLP literature in using the mean reward as our baseline, and in comparing different reward functions",ACL,Theory Proposal,,,,
"we aim not to merely study this phenomenon qualitatively, but instead to quantify the degree to which the language used to describe men and women is different and, moreover, different in a positive or negative way.",ACL,Theory Proposal,,,,
"It application of a well-studied graphical model to a
novel domain, outperforming previous approaches
on word and sentence-level translation retrieval tasks.",ACL,Applications,,,,
The proposed reordering mechanism can be easily integrated into the Transformer to learn reordering-aware sentence representation for machine translation.,ACL,Applications,,,,
we extend the architecture search approach to an important paradigm of transfer learning across multiple data sources: continual learning. The major problem in continual learning is catastrophic forgetting,ACL,New Algorithm or Method or Technology,,,,
"In order to adapt to non-parallel data, we design a cycle reinforcement learning algorithm CycleRL to guide the model training in an unsupervised way.",ACL,New Algorithm or Method or Technology,,,,
"We propose a new and effective framework for CQG, which is equipped with a dynamic reasoning component to generate a conversational question and is further fine-tuned via a reinforcement learning mechanism.",ACL,New Algorithm or Method or Technology,,,,
"We show the effectiveness of our method using the recent CoQA dataset. Moreover, we
show its wide applicability by using it to create multi-turn QA conversations for passages
in SQuAD",ACL,Performance Evaluation,,,,
we propose to train the decoder in a sequence of steps that encourages the source and target embedding spaces to remain aligned during adaptation,ACL,Theory Proposal,,,,
"We introduce and experiment with various self-supervised approaches for extractive summarization, one of which achieves the new state-ofthe-art results with a basic hierarchical model.",ACL,Theory Proposal,,,,
Token-level cross-passage information interaction is implemented through the application of the proposed DynSA at relatively less computational costs.,ACL,New Algorithm or Method or Technology,,,,
QFE adaptively determines the number of evidence sentences by considering the dependency among the evidence sentences and the coverage of the question.,ACL,New Algorithm or Method or Technology,,,,
"we show that policy gradient fine-tuning learns an easy-first strategy, which reduces error propagation",ACL,Performance Evaluation,,,,
